# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	469164
#@/user_id	47d94b64-518c-4017-b837-441ef302fb7b
bai wang 	白望	c=1 d=1 t=330421
bai wen 	白問	c=2 d=1.99501 t=116587
bai xi 	白皙	c=3 d=1 t=154537
bai xian 	白線	c=1 d=1 t=147561
bai yang 	白洋	c=5 d=1.99005 t=152934
bai yi 	白衣	c=1 d=1 t=357979
bai yin 	白銀	c=0 d=3.15735e-86 t=469164
bai yong 	白用	c=1 d=1 t=436782
bai yun shan 	白雲山	c=1 d=3.99444e-87 t=469164
bai zhang 	白長	c=1 d=1 t=413748
bai zhe 	擺着	c=1 d=5.92045e-187 t=469164
bai zong 	百總	c=1 d=1 t=367367
bai zuo 	白做	c=1 d=9.32659e-210 t=469164
ban 	半	c=9 d=1.33203e-20 t=469164
ban 	搬	c=16 d=1.9526e-11 t=469164
ban 	板	c=0 d=4.93504e-17 t=469164
ban 	版	c=57 d=3.02231e-12 t=469164
ban 	班	c=25 d=3.64517e-40 t=469164
ban 	般	c=4 d=1 t=433937
ban 	辦	c=46 d=2.25963e-08 t=469164
ban ban 	板板	c=1 d=1 t=438521
ban ban 	班班	c=1 d=1 t=397597
ban ben 	版本	c=252 d=0.000283038 t=469164
ban ben hao 	版本號	c=2 d=1 t=326390
ban ben hua 	版本化	c=1 d=1 t=434752
ban bian 	半邊	c=0 d=0.1 t=174760
ban chang 	半場	c=1 d=1 t=135535
ban ci 	班次	c=1 d=1 t=212342
ban dao 	搬到	c=24 d=1.29127e-06 t=469164
ban dao na 	搬到哪	c=1 d=1 t=360501
ban di 	班底	c=2 d=1 t=138684
ban dian 	半點	c=1 d=1.09753 t=103441
ban dian shi 	半點是	c=1 d=1 t=103437
ban er 	伴兒	c=1 d=0.1 t=179872
ban fa 	辦法	c=56 d=2.10237e-36 t=469164
ban fa 	頒發	c=2 d=1 t=421603
ban ge 	半個	c=7 d=1.09251e-129 t=469164
ban ge 	辦個	c=3 d=1.64296e-47 t=469164
ban ge ren 	半個人	c=1 d=1 t=138323
ban ge xiao shi 	半個小時	c=1 d=1 t=272895
ban ge yue 	半個月	c=11 d=1.84734e-44 t=469164
ban gong 	辦公	c=20 d=3.76731e-16 t=469164
ban gong shi 	辦公室	c=3 d=1 t=308275
ban gong si 	辦公司	c=1 d=1 t=242075
ban guo 	辦過	c=1 d=1 t=365854
ban guo lai 	搬過來	c=2 d=1 t=293416
ban guo qu 	搬過去	c=5 d=1 t=400553
ban hui qu 	搬回去	c=1 d=1 t=464197
ban huo 	搬貨	c=1 d=1 t=438430
ban jia 	半價	c=3 d=0.310576 t=469164
ban jia 	搬家	c=22 d=2.55468e-05 t=469164
ban jiang 	頒獎	c=1 d=3.73303e-173 t=469164
ban jie 	半截	c=2 d=5.63819e-83 t=469164
ban jin 	搬進	c=2 d=1.49302e-33 t=469164
ban jin qu 	搬進去	c=3 d=1 t=364628
ban ka 	辦卡	c=5 d=3.30378e-81 t=469164
ban kuai 	板塊	c=3 d=0.540641 t=469164
ban kuai lun dong 	板塊輪動	c=1 d=1 t=424285
ban lai 	搬來	c=0 d=6.25286e-213 t=469164
ban lan 	斑斕	c=1 d=1 t=433147
ban lang 	伴郎	c=2 d=4.35495e-06 t=469164
ban li 	搬離	c=1 d=5.98582e-81 t=469164
ban li 	辦理	c=28 d=6.9104e-08 t=469164
ban lu 	半路	c=2 d=1 t=416172
ban lv 	伴侶	c=4 d=1.54955e-123 t=469164
ban ma 	斑馬	c=42 d=1.48227 t=469164
ban ma xian 	斑馬線	c=1 d=1 t=121214
ban mian 	版面	c=1 d=2.11486e-135 t=469164
ban nian 	半年	c=47 d=0.0143357 t=469164
ban nian qian 	半年前	c=1 d=1 t=250705
ban pei 	般配	c=0 d=0.1 t=233217
ban qian 	搬遷	c=14 d=5.73138e-70 t=469164
ban qiao 	板橋	c=9 d=2.54617 t=365990
ban quan 	版權	c=2 d=1 t=365592
ban ri 	半日	c=2 d=1 t=347853
ban shang 	半晌	c=1 d=1 t=282068
ban shang 	搬上	c=1 d=1 t=155322
ban sheng 	半生	c=2 d=1.90937 t=444390
ban shi 	辦事	c=5 d=1.63343e-08 t=469164
ban shou 	扳手	c=1 d=1.73823e-210 t=469164
ban shu 	半熟	c=1 d=4.91549e-175 t=469164
ban si bu huo 	半死不活	c=1 d=1 t=431100
ban sui 	伴隨	c=3 d=1 t=442033
ban tian 	半天	c=59 d=7.28765e-08 t=469164
ban tuo 	辦妥	c=1 d=0.289384 t=469164
ban wan 	辦完	c=3 d=3.38189e-11 t=469164
ban xian 	半仙	c=0 d=0.1 t=299423
ban xian er 	半仙兒	c=1 d=1 t=299424
ban xiao shi 	半小時	c=10 d=1.19803e-08 t=469164
ban yan 	扮演	c=2 d=1 t=378861
ban ye 	半夜	c=3 d=1.16219e-33 t=469164
ban yuan 	半圓	c=1 d=1 t=149459
ban yue 	半月	c=0 d=0.1 t=460196
ban yun 	搬運	c=4 d=1.77249e-28 t=469164
ban yun gong 	搬運工	c=4 d=1.37157e-70 t=469164
ban zhang 	辦張	c=1 d=1 t=292724
ban zheng 	辦證	c=1 d=1 t=417353
ban zhou 	半軸	c=1 d=1 t=125601
ban zhuan 	搬磚	c=6 d=1 t=462556
ban zhuan 	搬轉	c=10 d=2.51956e-48 t=469164
ban zhuan 	板磚	c=2 d=1 t=436379
ban zi 	板子	c=3 d=2.92681e-46 t=469164
ban zi 	班子	c=2 d=1.94176 t=406555
ban zi dong 	半自動	c=1 d=1 t=299187
ban zou 	搬走	c=10 d=3.17053e-07 t=469164
bang 	幫	c=100 d=0.00729913 t=469164
bang 	棒	c=24 d=9.33346e-13 t=469164
bang 	榜	c=7 d=1.78588e-70 t=469164
bang 	邦	c=2 d=3.25153e-166 t=469164
bang bang 	棒棒	c=3 d=8.98801e-128 t=469164
bang bang da 	棒棒噠	c=1 d=5.48519e-171 t=469164
bang bu shang 	幫不上	c=2 d=1 t=345900
bang ce shi 	幫測試	c=1 d=1 t=268882
bang cha 	幫查	c=1 d=1 t=435598
bang chen 	幫襯	c=1 d=1 t=408668
bang da huo 	幫大夥	c=1 d=1 t=226883
bang dan 	榜單	c=1 d=1 t=253582
bang dao 	幫到	c=2 d=4.49558e-07 t=469164
bang ding 	幫頂	c=2 d=3.41697e-191 t=469164
bang ding 	綁定	c=85 d=3.5725e-09 t=469164
bang fang dong 	幫房東	c=1 d=1.45139e-59 t=469164
